task_name,input_file_name,city
Rohini Sector 19,rohini_sector_19.mp3,DELHI
Chanakyapuri,chanakyapuri.mp3,DELHI
Pulpahladpur,pulpahladpur.mp3,DELHI
Rohini Sector 6,rohini_sector_6.mp3,DELHI
Sagar Pur,sagar_pur.mp3,DELHI
Batla house,batla_house.mp3,DELHI
Dwarka Sector 13,dwarka_sector_13.mp3,DELHI
Bhikaji Cama Place,bhikaji_cama_place.mp3,DELHI
Seemapuri,seemapuri.mp3,DELHI
Dwarka Sector 20,dwarka_sector_20.mp3,DELHI
Gandhi Nagar,gandhi_nagar.mp3,DELHI
Dwarka Sector 8,dwarka_sector_8.mp3,DELHI
Gulabi Bagh,gulabi_bagh.mp3,DELHI
Mahipalpur,mahipalpur.mp3,DELHI
Rohini Sector 21,rohini_sector_21.mp3,DELHI
Siraspur,siraspur.mp3,DELHI
Dwarka Sector 18,dwarka_sector_18.mp3,DELHI
Johripur,johripur.mp3,DELHI
Rohini Extension,rohini_extension.mp3,DELHI
Dwarka Sector-1,dwarka_sector-1.mp3,DELHI
Sant Nagar,sant_nagar.mp3,DELHI
Kalu Sarai,kalu_sarai.mp3,DELHI
Harsh Vihar,harsh_vihar.mp3,DELHI
Savita Vihar,savita_vihar.mp3,DELHI
Burari,burari.mp3,DELHI
Madanpur Khadar,madanpur_khadar.mp3,DELHI
Dwarka Sector 14,dwarka_sector_14.mp3,DELHI
Kapashera,kapashera.mp3,DELHI
Dwarka Sector 23,dwarka_sector_23.mp3,DELHI
Begumpur,begumpur.mp3,DELHI
Rohini Sector 23,rohini_sector_23.mp3,DELHI
Ranjeet Nagar,ranjeet_nagar.mp3,DELHI
Ber Sarai,ber_sarai.mp3,DELHI
Ranhola,ranhola.mp3,DELHI
Azad Nagar,azad_nagar.mp3,DELHI
Wazirabad,wazirabad.mp3,DELHI
Navjeevan Vihar,navjeevan_vihar.mp3,DELHI
Dwarka Sector 22,dwarka_sector_22.mp3,DELHI
Rohini Sector 11,rohini_sector_11.mp3,DELHI
Inderpuri,inderpuri.mp3,DELHI
Pragati Maidan,pragati_maidan.mp3,DELHI
Yojana Vihar,yojana_vihar.mp3,DELHI
Bhalswa,bhalswa.mp3,DELHI
Devli,devli.mp3,DELHI
Ghitorni,ghitorni.mp3,DELHI
Sangam Vihar,sangam_vihar.mp3,DELHI
Dwarka Sector 24,dwarka_sector_24.mp3,DELHI
Aya Nagar,aya_nagar.mp3,DELHI
Sonia Vihar,sonia_vihar.mp3,DELHI
Narela,narela.mp3,DELHI
Jhandewalan,jhandewalan.mp3,DELHI
Malka Ganj,malka_ganj.mp3,DELHI
Chhatarpur,chhatarpur.mp3,DELHI
Dwarka Sector 21,dwarka_sector_21.mp3,DELHI
Dwarka Sector 19,dwarka_sector_19.mp3,DELHI
Dwarka Sector 17,dwarka_sector_17.mp3,DELHI
Dwarka Sector 16 A,dwarka_sector_16_a.mp3,DELHI
Dwarka Sector 16 B,dwarka_sector_16_b.mp3,DELHI
Dwarka Sector 16,dwarka_sector_16.mp3,DELHI
Rohini Sector 28,rohini_sector_28.mp3,DELHI
Bapa Nagar,bapa_nagar.mp3,DELHI
Rangpuri,rangpuri.mp3,DELHI
Rohini Sector 25,rohini_sector_25.mp3,DELHI
Jaitpur,jaitpur.mp3,DELHI
Rohini Sector 38,rohini_sector_38.mp3,DELHI
Bijwasan,bijwasan.mp3,DELHI
Dwarka Sector 27,dwarka_sector_27.mp3,DELHI
Inder Enclave,inder_enclave.mp3,DELHI
Goyla Village,goyla_village.mp3,DELHI
Qutub Vihar,qutub_vihar.mp3,DELHI
