task_name,input_file_name,city
SAI PUR ROAD,sai_pur_road.mp3,JALANDHAR
Saiden Gate,saiden_gate.mp3,JALANDHAR
Saini Colony,saini_colony.mp3,JALANDHAR
SAIPUR,saipur.mp3,JALANDHAR
Salempur Muslmana,salempur_muslmana.mp3,JALANDHAR
Saipur Kalan,saipur_kalan.mp3,JALANDHAR
Sangam Vihar,sangam_vihar.mp3,JALANDHAR
Sangat Singh Nagar,sangat_singh_nagar.mp3,JALANDHAR
Sangra Mohalla,sangra_mohalla.mp3,JALANDHAR
Sanik Vihar,sanik_vihar.mp3,JALANDHAR
Sanjay Gandhi,sanjay_gandhi.mp3,JALANDHAR
Sanjay Gandhi Market,sanjay_gandhi_market.mp3,JALANDHAR
Sanjay Gandhi Nagar,sanjay_gandhi_nagar.mp3,JALANDHAR
SANSI MOHALLA,sansi_mohalla.mp3,JALANDHAR
Sant Nagar,sant_nagar.mp3,JALANDHAR
SANT NGR.BASTI DANISHMANDA,sant_ngr.basti_danishmanda.mp3,JALANDHAR
Sant Pura,sant_pura.mp3,JALANDHAR
Ravidass Chowk,ravidass_chowk.mp3,JALANDHAR
SANTOKH PURA HOSHIARPUR RD.,santokh_pura_hoshiarpur_rd..mp3,JALANDHAR
Santokhpura,santokhpura.mp3,JALANDHAR
Santoshi Nagar,santoshi_nagar.mp3,JALANDHAR
Roashan Colony,roashan_colony.mp3,JALANDHAR
Sarabha Nagar,sarabha_nagar.mp3,JALANDHAR
Sarak Mohalla Garha,sarak_mohalla_garha.mp3,JALANDHAR
Saraswati Vihar,saraswati_vihar.mp3,JALANDHAR
Sarswati Vihar,sarswati_vihar.mp3,JALANDHAR
Sark Mohalla,sark_mohalla.mp3,JALANDHAR
SAS Nagar Extension,sas_nagar_extension.mp3,JALANDHAR
SAS Nagar,sas_nagar.mp3,JALANDHAR
Sat kartar Nagar,sat_kartar_nagar.mp3,JALANDHAR
Satkartar Enclave,satkartar_enclave.mp3,JALANDHAR
Sat Nagar,sat_nagar.mp3,JALANDHAR
Satran Mohalla,satran_mohalla.mp3,JALANDHAR
Satnam Nagar,satnam_nagar.mp3,JALANDHAR
Sawan Nagar,sawan_nagar.mp3,JALANDHAR
School Wali Gali,school_wali_gali.mp3,JALANDHAR
Sawarn Park,sawarn_park.mp3,JALANDHAR
Sehdev Market,sehdev_market.mp3,JALANDHAR
Sehglan Mohalla,sehglan_mohalla.mp3,JALANDHAR
Sehgal Colony,sehgal_colony.mp3,JALANDHAR
Sewerage Board Quarter,sewerage_board_quarter.mp3,JALANDHAR
Seth Hukam Chand Colony,seth_hukam_chand_colony.mp3,JALANDHAR
Sethia Wali Gali,sethia_wali_gali.mp3,JALANDHAR
Shah Kuli Mohalla,shah_kuli_mohalla.mp3,JALANDHAR
Sh. Guru Ravidass Nagar,sh._guru_ravidass_nagar.mp3,JALANDHAR
Shah Sikandar,shah_sikandar.mp3,JALANDHAR
Shah Sikander Road,shah_sikander_road.mp3,JALANDHAR
SHAH SIKANDER,shah_sikander.mp3,JALANDHAR
Shaheed Capt.Gurvinder Singh Colony,shaheed_capt.gurvinder_singh_colony.mp3,JALANDHAR
Shaheed Udham Singh Nagar,shaheed_udham_singh_nagar.mp3,JALANDHAR
Shakti Nagar,shakti_nagar.mp3,JALANDHAR
Ramneek Nagar,ramneek_nagar.mp3,JALANDHAR
Sham Nagar,sham_nagar.mp3,JALANDHAR
Shanti Pura,shanti_pura.mp3,JALANDHAR
Shalimar Enclave,shalimar_enclave.mp3,JALANDHAR
Shardha Nagar,shardha_nagar.mp3,JALANDHAR
Shankar Garden,shankar_garden.mp3,JALANDHAR
Santokhpura Nivi Abadi,santokhpura_nivi_abadi.mp3,JALANDHAR
SHARIFPURA,sharifpura.mp3,JALANDHAR
Sharif Pura,sharif_pura.mp3,JALANDHAR
SHASTRI MARKET,shastri_market.mp3,JALANDHAR
Shastri Chowk,shastri_chowk.mp3,JALANDHAR
Shamshan Ghat Road,shamshan_ghat_road.mp3,JALANDHAR
Shastri Nagar,shastri_nagar.mp3,JALANDHAR
Shastri to Milap Chowk,shastri_to_milap_chowk.mp3,JALANDHAR
Sheikhan Bazar,sheikhan_bazar.mp3,JALANDHAR
SHD. CAPT.H P S DHAMMI NAGAR,shd._capt.h_p_s_dhammi_nagar.mp3,JALANDHAR
Sher Singh Colony,sher_singh_colony.mp3,JALANDHAR
SHIBU MANDIR CHOWK,shibu_mandir_chowk.mp3,JALANDHAR
Shibu Mandir Chownk,shibu_mandir_chownk.mp3,JALANDHAR
Shital Nagar,shital_nagar.mp3,JALANDHAR
Shiv Nagar,shiv_nagar.mp3,JALANDHAR
Shiv Vihar,shiv_vihar.mp3,JALANDHAR
Shiva Ji Nagar,shiva_ji_nagar.mp3,JALANDHAR
SHIV NAGAR GARHA,shiv_nagar_garha.mp3,JALANDHAR
SHIVAJI NAGAR,shivaji_nagar.mp3,JALANDHAR
Sidh Mohalla,sidh_mohalla.mp3,JALANDHAR
Shiva Ji Park,shiva_ji_park.mp3,JALANDHAR
Shivraz Garh,shivraz_garh.mp3,JALANDHAR
Sidharth Nagar,sidharth_nagar.mp3,JALANDHAR
Silver Enclave,silver_enclave.mp3,JALANDHAR
Silver Residency,silver_residency.mp3,JALANDHAR
Silver hights,silver_hights.mp3,JALANDHAR
SINGH COLONEY,singh_coloney.mp3,JALANDHAR
Silver Oak Appartments,silver_oak_appartments.mp3,JALANDHAR
Singh Colony,singh_colony.mp3,JALANDHAR
Sodal Road,sodal_road.mp3,JALANDHAR
Sodal Nagar,sodal_nagar.mp3,JALANDHAR
State Bank Colony,state_bank_colony.mp3,JALANDHAR
Sohna Nagar,sohna_nagar.mp3,JALANDHAR
Subash Nagar,subash_nagar.mp3,JALANDHAR
Suchhi Pind,suchhi_pind.mp3,JALANDHAR
Suchi Pind,suchi_pind.mp3,JALANDHAR
Sunder Nagar,sunder_nagar.mp3,JALANDHAR
